INSTRUMENT,SYMBOL,EXP_DATE,STR_PRICE,OPT_TYPE,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,NOTION_VAL,PR_VAL,TIMESTAMP
OPTSTK    ,BEL       ,24-09-2020,105,CE      ,4.9,5,4.9,5,7600,15200,2,2,1671240,75240,04-08-2020
OPTSTK    ,BEL       ,24-09-2020,115,CE      ,2,2,2,2,7600,7600,1,1,889200,15200,04-08-2020
OPTSTK    ,BERGEPAINT,27-08-2020,500,PE      ,11,11,8,8,14300,5500,5,5,2801865,51865,04-08-2020
OPTSTK    ,BERGEPAINT,27-08-2020,520,CE      ,23,23,23,23,5500,2200,2,2,1194600,50600,04-08-2020
OPTSTK    ,BERGEPAINT,27-08-2020,520,PE      ,18.25,18.25,15.7,15.7,4400,3300,3,2,1773420,57420,04-08-2020
OPTSTK    ,BERGEPAINT,27-08-2020,530,CE      ,17.9,18.2,15.6,17.5,42900,38500,35,32,21051140,646140,04-08-2020
OPTSTK    ,BERGEPAINT,27-08-2020,530,PE      ,20.9,20.9,18.65,19.1,9900,3300,3,3,1814010,65010,04-08-2020
OPTSTK    ,BERGEPAINT,27-08-2020,540,CE      ,13.8,13.8,11.75,13,29700,14300,13,13,7906305,184305,04-08-2020
OPTSTK    ,BERGEPAINT,27-08-2020,550,CE      ,9.4,10.5,8.9,10,36300,33000,30,28,18473455,323455,04-08-2020
OPTSTK    ,BERGEPAINT,27-08-2020,560,CE      ,6.2,7.35,6.2,7.25,19800,16500,15,14,9353410,113410,04-08-2020
OPTSTK    ,BERGEPAINT,27-08-2020,600,CE      ,1.25,3.05,1.25,2.75,13200,11000,10,4,6623155,23155,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,300,PE      ,1,1,1,1,9000,1500,1,1,451500,1500,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,320,PE      ,2.1,2.1,2.1,2.1,6000,1500,1,1,483150,3150,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,350,PE      ,5.35,5.8,3.85,4.1,57000,30000,20,16,10650525,150525,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,360,PE      ,7.65,9,5.6,6.1,34500,22500,15,15,8268525,168525,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,365,PE      ,9.05,9.35,6.95,6.95,7500,4500,3,3,1680525,38025,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,370,PE      ,10.3,12.45,7.95,8.15,28500,24000,16,16,9125100,245100,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,380,CE      ,24.05,27.4,22.55,26.35,42000,18000,12,11,7282650,442650,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,380,PE      ,14.7,16.8,11.65,12.4,55500,36000,24,22,14188950,508950,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,385,CE      ,21.2,22.3,21.2,22.3,25500,3000,2,2,1220250,65250,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,385,PE      ,18.9,19,16.45,16.45,13500,10500,7,7,4237425,194925,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,390,CE      ,18.05,21.7,17.15,21.2,66000,261000,174,165,106859550,5069550,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,390,PE      ,19.05,21.55,16.1,16.9,30000,24000,16,16,9804150,444150,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,395,CE      ,17,18.5,15.3,18.5,18000,30000,20,19,12363300,513300,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,400,CE      ,15,17,13.35,16.5,136500,582000,388,361,241698975,8898975,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,400,PE      ,25.7,27,21.2,21.2,12000,9000,6,6,3820275,220275,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,405,CE      ,13,13.75,13,13.75,18000,9000,6,4,3763725,118725,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,410,CE      ,11.65,13.05,10.25,13.05,27000,28500,19,17,12018225,333225,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,415,CE      ,10,10,10,10,4500,1500,1,1,637500,15000,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,420,CE      ,11,11,7.65,9.45,126000,61500,41,41,26361300,531300,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,440,CE      ,5.1,5.3,4.15,5.3,10500,7500,5,5,3337725,37725,04-08-2020
OPTSTK    ,BHARATFORG,27-08-2020,450,CE      ,2.45,3.95,2.45,3.75,70500,21000,14,13,9522525,72525,04-08-2020
OPTSTK    ,BHARATFORG,24-09-2020,410,CE      ,19.2,19.2,19.2,19.2,1500,1500,1,1,643800,28800,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,400,PE      ,0.3,0.4,0.3,0.4,22212,3702,2,2,1482095.7,1295.7,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,440,PE      ,0.6,0.6,0.6,0.6,5553,1851,1,1,815550.6,1110.6,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,450,PE      ,0.9,0.95,0.8,0.85,149931,11106,6,6,5007510.3,9810.3,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,460,PE      ,1.35,1.35,1,1.25,92550,18510,10,9,8536719.45,22119.45,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,470,PE      ,1.45,1.45,1.45,1.45,18510,1851,1,1,872653.95,2683.95,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,480,PE      ,2.3,2.3,1.8,1.85,671913,55530,30,28,26766570.6,112170.6,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,490,PE      ,3.25,3.25,2.65,2.7,157335,81444,44,38,40149115.5,241555.5,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,500,CE      ,53.9,56.25,52.3,54,159186,27765,15,14,15379681.35,1497181.35,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,500,PE      ,4.65,5,3.9,4.05,1608519,955116,516,490,481677585.6,4119585.6,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,510,PE      ,6.55,7.25,5.7,6,468303,472005,255,230,243665269.8,2942719.8,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,520,PE      ,9.35,10.2,8,8.5,1219809,744102,402,383,393564340.1,6631300.05,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,530,CE      ,32.3,33.5,31.9,31.9,94401,44424,24,22,24994885.95,1450165.95,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,530,PE      ,12.85,13.75,11.05,11.9,1032858,881076,476,422,477812142.3,10841862.3,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,540,CE      ,26.6,28.2,24.45,26.3,296160,346137,187,186,196066712.3,9152732.25,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,540,PE      ,17.7,18.4,15,16.05,1142067,1419717,767,677,790152288.6,23505108.6,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,550,CE      ,21.9,22.95,20.05,21.5,1469694,2454426,1326,1232,1403237177,53302876.8,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,550,PE      ,21.6,23.75,19.6,21.25,1508565,1284594,694,633,733952874.5,27426174.45,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,560,CE      ,17.9,18.55,16,17.3,2698758,3228144,1744,1542,1864229004,56468364.45,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,560,PE      ,27.75,29.7,25.4,27.15,1214256,392412,212,208,230398597.5,10647877.5,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,570,CE      ,14.7,14.9,12.8,13.7,1375293,1334571,721,656,779118940.4,18413470.35,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,570,PE      ,34.55,35.5,31.8,33.35,349839,77742,42,39,46903507.05,2590567.05,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,580,CE      ,11.95,11.95,10.05,10.7,2223051,1987974,1074,960,1174771208,21746288.4,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,580,PE      ,41.5,41.5,38.6,40.4,212865,22212,12,12,13771532.55,888572.55,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,590,CE      ,9.55,9.55,7.95,8.4,805185,823695,445,383,493051517.9,7071467.85,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,600,CE      ,7.35,7.55,6.25,6.75,4170303,2004633,1083,1005,1216533378,13753577.85,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,600,PE      ,58.25,58.4,54.95,56.6,359094,22212,12,12,14580974.85,1253774.85,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,610,CE      ,5.75,6,4.9,5.25,677466,429432,232,229,264257459.7,2303939.7,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,620,CE      ,4.7,4.75,3.95,4.05,934755,566406,306,277,353532855.6,2361135.6,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,630,CE      ,3.65,3.65,3.05,3.25,360945,222120,120,114,140681553,745953,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,640,CE      ,2.9,2.9,2.6,2.7,520131,209163,113,110,134432391.9,568071.9,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,650,CE      ,2.7,2.7,2.15,2.25,1042113,298011,161,140,194408586.5,701436.45,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,660,CE      ,1.95,1.95,1.6,1.7,96252,44424,24,24,29398507.5,78667.5,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,670,CE      ,1.8,1.8,1.25,1.45,92550,74040,40,36,49713880.35,107080.35,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,680,CE      ,1.35,1.35,1.25,1.3,55530,14808,8,8,10088227.65,18787.65,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,690,CE      ,1.3,1.3,1,1.2,11106,7404,4,4,5117644.8,8884.8,04-08-2020
OPTSTK    ,BHARTIARTL,27-08-2020,700,CE      ,0.9,1,0.9,1,1012497,242481,131,100,169972424.9,235724.85,04-08-2020
OPTSTK    ,BHARTIARTL,24-09-2020,550,CE      ,36.7,36.7,32,33,5553,5553,3,3,3242396.7,188246.7,04-08-2020
OPTSTK    ,BHARTIARTL,24-09-2020,550,PE      ,32,32.5,32,32.5,3702,3702,2,2,2155489.5,119389.5,04-08-2020
OPTSTK    ,BHARTIARTL,24-09-2020,600,CE      ,16,17.2,16,16.4,53679,29616,16,14,18255394.95,485794.95,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,19,PE      ,0.1,0.1,0.1,0.1,105000,21000,1,1,401100,2100,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,20,PE      ,0.05,0.05,0.05,0.05,63000,21000,1,1,421050,1050,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,29,PE      ,0.2,0.2,0.15,0.15,420000,42000,2,2,1225350,7350,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,30,PE      ,0.35,0.35,0.25,0.3,819000,357000,17,15,10821300,111300,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,31,PE      ,0.4,0.4,0.35,0.35,189000,63000,3,2,1977150,24150,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,32,CE      ,5.35,5.65,5.35,5.65,84000,63000,3,2,2359350,343350,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,32,PE      ,0.75,0.75,0.5,0.6,1554000,1449000,69,65,47290950,922950,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,33,CE      ,4.6,4.6,4.6,4.6,63000,42000,2,1,1579200,193200,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,33,PE      ,1.05,1.05,0.7,0.85,567000,798000,38,37,27012300,678300,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,34,CE      ,3.85,4,3.85,4,63000,63000,3,3,2389800,247800,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,34,PE      ,1.35,1.4,0.95,1.1,693000,567000,27,27,19935300,657300,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,35,CE      ,3.2,3.75,3.15,3.3,336000,357000,17,15,13702500,1207500,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,35,PE      ,1.8,1.8,1.2,1.45,1491000,840000,40,38,30694650,1294650,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,36,CE      ,2.4,3.05,2.4,2.75,483000,546000,26,25,21128100,1472100,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,36,PE      ,2.25,2.25,1.6,2,1344000,861000,41,39,32692800,1696800,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,37,CE      ,2.15,2.65,2,2.25,1260000,1575000,75,71,61775700,3500700,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,37,PE      ,2.8,2.8,2.1,2.4,672000,819000,39,34,32309550,2006550,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,38,CE      ,1.8,2.2,1.6,1.8,2016000,1617000,77,74,64491000,3045000,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,38,PE      ,3.5,3.5,2.6,2.9,420000,546000,26,22,22399650,1651650,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,39,CE      ,1.4,1.75,1.35,1.5,1302000,693000,33,33,28067550,1040550,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,39,PE      ,4.1,4.1,3.15,3.55,231000,273000,13,11,11629800,982800,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,40,CE      ,1.15,1.5,1.05,1.2,4431000,3927000,187,181,161863800,4783800,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,40,PE      ,4.6,4.6,3.95,4.25,525000,252000,12,11,11168850,1088850,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,41,CE      ,0.9,1,0.9,0.95,798000,378000,18,18,15847650,349650,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,41,PE      ,5.25,5.25,5.2,5.2,189000,105000,5,5,4852050,547050,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,42,CE      ,0.75,0.95,0.65,0.7,2226000,1029000,49,45,44016000,798000,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,42,PE      ,5.95,5.95,5.95,5.95,147000,42000,2,1,2013900,249900,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,43,CE      ,0.55,0.75,0.55,0.6,672000,168000,8,8,7327950,103950,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,44,CE      ,0.5,0.6,0.45,0.5,1134000,714000,34,27,31781400,365400,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,45,CE      ,0.4,0.5,0.35,0.4,3318000,1239000,59,47,56284200,529200,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,45,PE      ,8.6,8.6,8.6,8.6,42000,42000,2,1,2251200,361200,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,47,CE      ,0.3,0.3,0.25,0.25,231000,42000,2,2,1985550,11550,04-08-2020
OPTSTK    ,BHEL      ,27-08-2020,50,CE      ,0.15,0.2,0.1,0.15,4473000,735000,35,24,36861300,111300,04-08-2020
OPTSTK    ,BHEL      ,24-09-2020,40,CE      ,2.5,2.5,2.5,2.5,21000,21000,1,1,892500,52500,04-08-2020
OPTSTK    ,BHEL      ,24-09-2020,50,CE      ,0.5,0.5,0.5,0.5,21000,21000,1,1,1060500,10500,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,320,PE      ,0.9,0.9,0.6,0.6,13800,4600,2,2,1475450,3450,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,330,PE      ,1.25,1.25,0.75,0.75,4600,4600,2,2,1522600,4600,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,340,PE      ,1.2,1.5,1,1.2,188600,52900,23,22,18049020,63020,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,360,PE      ,2.75,4,2.5,2.55,227700,96600,42,38,35051425,275425,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,370,PE      ,4.8,5.1,4,4,43700,20700,9,8,7757670,98670,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,380,CE      ,37,41,37,41,13800,4600,2,2,1927400,179400,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,380,PE      ,6,8.55,5.9,6.05,333500,345000,150,149,133449105,2349105,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,385,PE      ,9.15,9.15,7.85,7.9,36800,13800,6,6,5425930,112930,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,390,CE      ,30,30,30,30,11500,2300,1,1,966000,69000,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,390,PE      ,9.1,12.5,8.5,8.8,131100,149500,65,64,59778265,1473265,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,395,PE      ,10.6,11.65,10.4,11.5,50600,18400,8,7,7472355,204355,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,400,CE      ,29.5,29.85,23.15,28.1,303600,184000,80,78,78372270,4772270,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,400,PE      ,12.55,16.5,12,12.35,248400,317400,138,138,131302285,4342285,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,405,CE      ,25.15,25.15,21.9,24.75,87400,9200,4,4,3948985,222985,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,405,PE      ,15.35,17.55,14.7,16.85,46000,9200,4,4,3874235,148235,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,410,CE      ,22.5,24.05,18.35,22.5,296700,519800,226,222,224219985,11101985,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,410,PE      ,18.75,21.7,16.1,16.4,87400,119600,52,51,51205820,2169820,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,415,CE      ,21.35,21.6,16.45,20.15,112700,87400,38,37,37969895,1698895,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,415,PE      ,19.5,24,19.5,21,39100,32200,14,13,14027700,664700,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,420,CE      ,18.1,19.3,14.3,17.75,621000,1386900,603,476,607010595,24512595,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,420,PE      ,22.55,26.65,21.4,21.5,103500,75900,33,32,33635545,1757545,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,425,CE      ,16.9,16.9,13.05,15.75,105800,27600,12,12,12136640,406640,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,430,CE      ,14.35,15.2,10.8,13.9,315100,908500,395,348,402377755,11722755,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,430,PE      ,28.5,31,28.5,30.65,20700,9200,4,4,4228895,272895,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,435,CE      ,11.3,12.3,9.8,12.3,25300,36800,16,16,16401185,393185,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,440,CE      ,12.05,12.05,8.25,10.7,409400,471500,205,190,212189375,4729375,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,450,CE      ,9.25,9.5,6.25,8.25,563500,411700,179,163,188418070,3153070,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,460,CE      ,6.9,7,4.75,6.4,246100,128800,56,52,59949385,701385,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,470,CE      ,5.45,5.5,3.9,4.7,64400,41400,18,17,19653040,195040,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,480,CE      ,4.15,4.2,2.7,3.75,133400,112700,49,44,54494475,398475,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,490,CE      ,2.6,2.85,2,2.85,32200,16100,7,7,7930055,41055,04-08-2020
OPTSTK    ,BIOCON    ,27-08-2020,500,CE      ,2.5,2.5,1.5,2.1,227700,121900,53,52,61191270,241270,04-08-2020
OPTSTK    ,BOSCHLTD  ,27-08-2020,13000,CE      ,551.95,551.95,465,468,550,700,14,11,9455767.5,355767.5,04-08-2020
OPTSTK    ,BOSCHLTD  ,27-08-2020,13500,CE      ,301,301,301,301,250,50,1,1,690050,15050,04-08-2020
OPTSTK    ,BOSCHLTD  ,27-08-2020,14000,CE      ,200,200,157.15,164.6,1050,550,11,6,7792282.5,92282.5,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,250,PE      ,0.25,0.25,0.25,0.25,1800,1800,1,1,450450,450,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,300,PE      ,1,1.1,0.65,0.75,72000,102600,57,45,30876030,96030,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,310,CE      ,98,98,98,98,0,1800,1,1,734400,176400,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,310,PE      ,1,1,1,1,1800,1800,1,1,559800,1800,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,320,PE      ,1,2,1,1.15,28800,90000,50,46,28931130,131130,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,330,PE      ,1.35,3,0.65,1.35,43200,163800,91,85,54418950,364950,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,340,PE      ,2,4.65,1.65,2,93600,286200,159,140,98222040,914040,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,345,PE      ,5,5,5,5,3600,5400,3,3,1890000,27000,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,350,CE      ,65.95,65.95,65.95,65.95,43200,3600,2,2,1497420,237420,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,350,PE      ,1.65,6.4,1.5,3,388800,1506600,837,770,534302010,6992010,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,355,PE      ,4.2,4.2,4,4.1,3600,3600,2,2,1292760,14760,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,360,CE      ,44.05,49.85,44.05,49.85,1800,3600,2,2,1465020,169020,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,360,PE      ,2.05,8.75,2.05,4.2,419400,1551600,862,805,568246230,9670230,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,365,PE      ,6.1,6.1,4.8,5.25,5400,5400,3,2,1999260,28260,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,370,PE      ,3.95,12.25,3.7,6.4,226800,869400,483,462,329468760,7790760,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,375,PE      ,6.5,13.4,6.5,7.1,12600,39600,22,21,15260400,410400,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,380,CE      ,41.15,41.15,31.25,38.2,10800,14400,8,8,5993640,521640,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,380,PE      ,5.9,16.45,5.3,8.85,581400,2806200,1559,1468,1099536300,33180300,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,385,CE      ,36.2,36.2,36.2,36.2,1800,1800,1,1,758160,65160,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,385,PE      ,7.8,17.45,7.8,10.6,34200,73800,41,32,29272680,859680,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,390,CE      ,39.6,39.6,23,31.4,63000,172800,96,79,71853390,4461390,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,390,PE      ,9.45,21.25,8,12.5,264600,2091600,1162,1078,849365550,33641550,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,395,CE      ,23.6,25.3,21,25.3,14400,43200,24,23,18040140,976140,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,395,PE      ,14.3,23.05,12.95,14,61200,298800,166,157,123547410,5521410,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,400,CE      ,28.25,32.75,18.4,25.9,354600,2466000,1370,1262,1040465430,54065430,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,400,PE      ,13.15,27,10.75,16.35,939600,3738600,2077,1933,1569068010,73628010,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,405,CE      ,24.65,24.8,17.55,22.7,25200,88200,49,43,37442070,1721070,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,405,PE      ,14.4,27.6,13.95,19.7,30600,72000,40,39,30766320,1606320,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,410,CE      ,24.5,28,14.9,21.4,282600,1992600,1107,1006,855353520,38387520,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,410,PE      ,17.4,33.25,14.55,21.55,208800,1846800,1026,892,797037660,39849660,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,415,CE      ,20.8,24.5,13.2,19.9,133200,608400,338,321,263833740,11347740,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,415,PE      ,19.8,35.35,17.5,24.55,63000,331200,184,177,145347300,7899300,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,420,CE      ,20.65,22.9,11.95,17.65,642600,4080600,2267,2036,1782626310,68774310,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,420,PE      ,21.9,40,19.3,27.75,243000,900000,500,483,402616800,24616800,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,425,CE      ,18,20.4,10.7,15.55,66600,741600,412,408,326360430,11180430,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,425,PE      ,25.45,39.95,22.35,31.35,39600,109800,61,59,49748220,3083220,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,430,CE      ,15.85,18.15,9.5,13.95,430200,2604600,1447,1351,1154178810,34200810,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,430,PE      ,26.7,46.5,25.05,33.6,223200,154800,86,84,71835570,5271570,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,435,CE      ,14.4,15.95,8.55,13.05,68400,243000,135,126,108750780,3045780,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,435,PE      ,31.75,47.15,30.15,36.95,25200,21600,12,10,10149930,753930,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,440,CE      ,13.35,14.5,7.55,11.35,540000,1891800,1051,1004,852282090,19890090,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,440,PE      ,35.35,53.05,33,41.65,99000,77400,43,42,37510110,3454110,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,445,CE      ,11.8,12.5,7.5,10,39600,36000,20,16,16389630,369630,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,445,PE      ,40.2,43.75,40.2,43.75,18000,7200,4,3,3499920,295920,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,450,CE      ,10.9,11.8,6.05,9.15,860400,2638800,1466,1351,1209189240,21729240,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,450,PE      ,42.9,61.5,38.5,47.7,228600,41400,23,23,20723220,2093220,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,455,CE      ,9.1,9.1,5.6,7.6,41400,30600,17,17,14152410,229410,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,460,CE      ,8.4,9,4.85,7.05,586800,1359000,755,714,633775860,8635860,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,460,PE      ,50.75,72.35,47.5,56.25,315000,45000,25,24,23461470,2761470,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,470,CE      ,6.5,7.45,3.95,5.75,459000,882000,490,448,419117760,4577760,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,470,PE      ,54.75,71.4,50.75,71.4,30600,12600,7,6,6634350,712350,04-08-2020
OPTSTK    ,BPCL      ,27-08-2020,480,CE      ,5.5,5.85,3.25,4.6,442800,991800,551,502,480355380,4291380,04-08-2020
