SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MINDTECK, EQ, 16-Dec-2021,162.35,170.45,170.45,162.5,170.45,170.3,169.84,317958,540.03,3186,215118,67.66
MINDTREE, EQ, 16-Dec-2021,4547.35,4600,4645,4558,4605,4591.05,4600.63,458659,21101.2,41316,101819,22.2
MIRCELECTR, EQ, 16-Dec-2021,28.45,28.95,29.45,27.15,28.75,28.8,28.31,2228587,630.81,4047,1156068,51.87
MIRZAINT, EQ, 16-Dec-2021,123.3,123.9,130.45,121.1,126,126,125.72,2659798,3343.91,31319,635570,23.9
MITCON, SM, 16-Dec-2021,50.6,53.1,53.1,53.1,53.1,53.1,53.1,6000,3.19,3,6000,100
MITTAL, EQ, 16-Dec-2021,12.4,13,13.3,11.2,11.5,11.8,12.18,422553,51.45,1430,274986,65.08
MMFL, EQ, 16-Dec-2021,775.65,777,779.9,763.35,777,774.25,771.45,7033,54.26,875,5217,74.18
MMP, EQ, 16-Dec-2021,148,151.9,151.9,146.5,147,147.05,148.66,8711,12.95,159,6472,74.3
MMTC, EQ, 16-Dec-2021,45.1,45.5,45.9,43.65,43.85,43.95,44.66,2831243,1264.46,12945,814026,28.75
MODIRUBBER, BE, 16-Dec-2021,77.15,77,81,75.15,81,80.7,80.37,12198,9.8,125, -, -
MODISNME, EQ, 16-Dec-2021,92.85,95.4,95.4,90.65,91.05,91.15,91.87,59437,54.6,1061,42231,71.05
MOGSEC, EQ, 16-Dec-2021,49.35,49.38,49.43,49.37,49.42,49.41,49.42,523,0.26,29,457,87.38
MOHITIND, EQ, 16-Dec-2021,15.1,15.1,15.8,14.35,14.35,14.45,14.56,26759,3.9,166,20364,76.1
MOIL, EQ, 16-Dec-2021,173.6,172.2,173.9,172.15,173.35,173.2,172.88,195699,338.33,3508,84595,43.23
MOKSH, EQ, 16-Dec-2021,44.45,45.35,45.35,44.25,44.5,44.5,44.6,886804,395.51,1277,558748,63.01
MOL, EQ, 16-Dec-2021,111.45,111.55,112.85,108.5,109.85,109.95,110.44,785035,866.99,7190,379170,48.3
MOLDTECH, EQ, 16-Dec-2021,82.2,84,84.9,78.2,79.2,79.05,79.97,71856,57.46,1371,39031,54.32
MOLDTKPAC, EQ, 16-Dec-2021,763.05,778.6,778.6,745,749,748.1,755.41,85547,646.23,5699,56825,66.43
MOLDTKPAC, W1, 16-Dec-2021,619.1,630,630,600,601,601,618.92,245,1.52,7,245,100
MOM100, EQ, 16-Dec-2021,32.79,33.29,33.29,32.52,32.55,32.58,32.64,68280,22.28,1315,48384,70.86
MOM50, EQ, 16-Dec-2021,171.12,173.49,173.49,168.5,172.15,172.15,171.56,7718,13.24,54,5229,67.75
MON100, EQ, 16-Dec-2021,119.16,121,124,121,122.15,122.1,122.13,324815,396.7,3793,181230,55.79
MONTECARLO, EQ, 16-Dec-2021,600.3,604,621,598.7,613,614.8,610.86,87074,531.9,7028,41335,47.47
MORARJEE, EQ, 16-Dec-2021,21.15,21.45,23.25,20.85,23.25,23.25,22.64,239834,54.3,951,152771,63.7
MOREPENLAB, EQ, 16-Dec-2021,54.7,55.2,55.75,53.3,53.45,53.6,54,1782668,962.61,9270,830761,46.6
MOTHERSUMI, EQ, 16-Dec-2021,221.35,222.7,228,217.45,227.25,223.95,221.49,3029876,6710.79,41676,991200,32.71
MOTILALOFS, EQ, 16-Dec-2021,953.2,955,1014.8,951.15,979.8,979.8,990.09,1199659,11877.69,54742,287012,23.92
MOTOGENFIN, BE, 16-Dec-2021,31.85,30.75,33,30.3,30.75,31.05,31.25,16611,5.19,152, -, -
MPHASIS, EQ, 16-Dec-2021,3208.85,3225.1,3262,3181.05,3217.65,3210.2,3218.75,397555,12796.31,36746,149615,37.63
MPSLTD, EQ, 16-Dec-2021,704.25,688.85,690,676,677.3,678.45,682.59,23880,163,2365,11825,49.52
MRF, EQ, 16-Dec-2021,73985.5,74060,74298.65,73100,73270,73306.45,73476.42,8181,6011.11,4674,3722,45.5
MRO-TEK, EQ, 16-Dec-2021,59.4,62.35,62.35,58.8,59.1,59.15,60.14,14371,8.64,249,10485,72.96
MRPL, EQ, 16-Dec-2021,44.75,45,45,43.8,43.95,43.9,44.23,515698,228.1,3342,270999,52.55
MSPL, EQ, 16-Dec-2021,10,10.05,10.05,9.7,9.95,9.9,9.96,965428,96.16,1067,797677,82.62
MSTCLTD, EQ, 16-Dec-2021,344.55,347.9,351.05,337.6,339.95,338.8,341.79,230889,789.16,6245,100941,43.72
MTARTECH, EQ, 16-Dec-2021,2272.8,2302.5,2328.05,2200,2230,2224.6,2242.34,132424,2969.4,15940,42991,32.46
MTEDUCARE, EQ, 16-Dec-2021,10.6,10.65,11.2,10,10.1,10.15,10.46,2401343,251.07,3400,1092237,45.48
MTNL, EQ, 16-Dec-2021,23.2,23.4,24.6,21.9,22.5,22.5,22.96,10141461,2328.93,18382,2133376,21.04
MUKANDLTD, EQ, 16-Dec-2021,130.15,136.65,136.65,127.5,129,129,131.83,46277,61,616,28533,61.66
MUKTAARTS, EQ, 16-Dec-2021,51.5,50.85,52.75,50.1,52.25,51.8,51.21,26923,13.79,341,15574,57.85
MUNJALAU, EQ, 16-Dec-2021,52.7,53.15,53.35,52.5,53,52.85,52.91,86345,45.69,877,34277,39.7
MUNJALSHOW, EQ, 16-Dec-2021,125.8,127.1,127.1,123.6,124.9,124.3,124.86,15995,19.97,961,8244,51.54
MURUDCERA, EQ, 16-Dec-2021,27.8,27.9,29.2,27.25,28.15,27.95,28.44,418116,118.9,2198,178955,42.8
MUTHOOTCAP, EQ, 16-Dec-2021,358.45,360.4,370.05,352,355,355.55,357.93,14330,51.29,728,9409,65.66
MUTHOOTFIN, EQ, 16-Dec-2021,1463.8,1471,1479.8,1446.45,1465.65,1464.4,1461.22,547166,7995.3,29083,174662,31.92
NABARD, N2, 16-Dec-2021,1264.74,1258.1,1258.1,1257.1,1257.1,1257.1,1257.15,200,2.51,3,200,100
NACLIND, EQ, 16-Dec-2021,86.8,89.45,91.2,86.15,87,86.85,88.72,639832,567.67,14907,268677,41.99
NAGAFERT, EQ, 16-Dec-2021,11.05,11.2,11.45,10.95,11.15,11.15,11.19,619970,69.35,1509,448044,72.27
NAGREEKEXP, EQ, 16-Dec-2021,34.95,33.9,36,33.75,34.3,34.45,34.94,12457,4.35,241,6484,52.05
NAHARCAP, EQ, 16-Dec-2021,320.15,328.35,328.5,315,318.9,317.1,317.77,5472,17.39,244,3241,59.23
NAHARINDUS, EQ, 16-Dec-2021,118.95,119.65,120.85,118.1,120.85,119.3,119.03,24262,28.88,249,21601,89.03
NAHARPOLY, EQ, 16-Dec-2021,251.8,259.4,259.5,245.35,249,248.65,250.09,26245,65.64,919,16360,62.34
NAHARSPING, BE, 16-Dec-2021,546.25,560,560,520,531,528.5,528.33,26188,138.36,901, -, -
NAM-INDIA, EQ, 16-Dec-2021,355.15,355.15,361,342.2,346.1,345.65,348.89,2199642,7674.35,29171,1320620,60.04
